model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 Kamiq,2019.0,21990,Semi-Auto,563,Diesel,145.0,52.3,1.6,skoda,,,,,,,
 Q5,2016.0,20498,Semi-Auto,33657,Diesel,200.0,47.1,2.0,audi,,,,,,,
 Touareg,2019.0,39995,Semi-Auto,7000,Diesel,145.0,34.5,3.0,vw,,,,,,,
 Aygo,2019.0,8690,Manual,2438,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 S-MAX,2020.0,34498,Semi-Auto,4623,Diesel,145.0,43.5,2.0,ford,,,,,,,
 Zafira,2013.0,6495,Manual,51503,Diesel,145.0,55.4,2.0,vauxhall,,,,,,,
 Focus,2019.0,14450,Manual,7952,Petrol,145.0,58.9,1.0,ford,,,,,,,
 X3,2017.0,21750,Automatic,25776,Diesel,200.0,47.9,3.0,bmw,,,,,,,
 CLS Class,2019.0,45799,Semi-Auto,164,Petrol,145.0,31.4,2.0,merc,,,,,,,
 Polo,2017.0,10161,Manual,27366,Petrol,145.0,60.1,1.2,vw,,,,,,,
 Karoq,2018.0,19999,Automatic,18000,Petrol,150.0,50.4,1.5,skoda,,,,,,,
 Up,2013.0,5500,Manual,23084,Petrol,20.0,62.8,1.0,vw,,,,,,,
 Fiesta,2018.0,12495,Manual,15500,Petrol,150.0,58.9,1.0,ford,,,,,,,
 Fiesta,2017.0,9400,Manual,9405,Petrol,145.0,54.3,1.2,ford,,,,,,,
 Focus,2019.0,19180,Manual,7008,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Polo,2016.0,7195,Manual,46850,Petrol,20.0,60.1,1.0,vw,,,,,,,
 Focus,2015.0,5795,Manual,105260,Petrol,,,1.0,focus,,,,,,,
 T-Roc,2018.0,22052,Automatic,6012,Petrol,145.0,39.8,1.5,vw,,,,,,,
 A4,2019.0,26990,Automatic,5212,Diesel,145.0,49.6,2.0,audi,,,,,,,
 Q2,2019.0,24990,Semi-Auto,6042,Petrol,145.0,42.2,1.5,audi,,,,,,,
 T-Roc,2019.0,21490,Manual,7052,Petrol,150.0,42.2,1.5,vw,,,,,,,
 A3,2017.0,19995,Semi-Auto,36355,Diesel,30.0,61.4,2.0,audi,,,,,,,
 Fiesta,2018.0,11500,Manual,7225,Petrol,145.0,58.9,1.0,ford,,,,,,,
 Sharan,2018.0,17290,Manual,44000,Diesel,145.0,56.5,2.0,vw,,,,,,,
 Focus,2019.0,16998,Manual,13998,Petrol,,,1.0,focus,,,,,,,
 E Class,2020.0,38399,Semi-Auto,1000,Diesel,145.0,70.6,2.0,merc,,,,,,,
 C Class,2015.0,13390,Automatic,88218,Hybrid,0.0,76.4,2.1,merc,,,,,,,
 1 Series,2016.0,9899,Manual,47325,Diesel,0.0,83.1,1.5,bmw,,,,,,,
 A1,2019.0,23490,Semi-Auto,2568,Petrol,145.0,44.8,1.5,audi,,,,,,,
 C Class,2009.0," £6,995",Automatic,"42,000",,,,,unclean cclass,,30,£235,38.7,Petrol,1597,/ad/25400697
